id,user_id,total_amount,status,created_at
1,91,32000,주문완료,2026-01-06 00:00:00
2,80,16000,주문완료,2025-11-17 11:00:00
3,74,24000,주문완료,2025-09-25 11:00:00
4,43,30000,주문완료,2025-06-16 19:00:00
5,72,15000,주문완료,2025-10-04 08:00:00
6,49,56000,주문완료,2025-07-15 17:00:00
7,44,24000,주문완료,2025-06-27 00:00:00
8,48,34000,주문완료,2025-07-14 11:00:00
9,78,46000,주문완료,2025-10-25 17:00:00
10,13,24000,주문완료,2025-03-19 04:00:00
11,97,34000,주문완료,2025-12-23 00:00:00
12,44,22000,주문완료,2025-06-27 13:00:00
13,59,24000,주문완료,2025-08-29 01:00:00
14,4,18000,주문완료,2025-01-22 02:00:00
15,29,39800,주문취소,2025-05-16 07:00:00
16,54,15000,주문취소,2025-08-01 18:00:00
17,33,19000,주문완료,2025-05-15 11:00:00
18,1,24000,주문완료,2025-01-13 09:00:00
19,83,25000,주문완료,2025-11-07 21:00:00
20,87,23000,주문완료,2025-11-20 11:00:00
21,78,30000,주문완료,2025-10-20 04:00:00
22,9,28000,주문완료,2025-02-16 02:00:00
23,96,23000,주문완료,2026-01-18 12:00:00
24,57,34000,주문완료,2025-08-14 20:00:00
25,79,25000,주문완료,2025-10-22 23:00:00
26,50,44000,주문완료,2025-07-28 11:00:00
27,43,16000,주문완료,2025-06-28 23:00:00
28,20,66000,주문완료,2025-04-12 09:00:00
29,93,24000,주문완료,2025-12-24 01:00:00
30,39,15000,주문완료,2025-06-21 05:00:00
